City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
404,Axim,GH,83.37,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
408,Poum,NC,77.04,clear sky,-20.2333,164.0167,
412,Sechura,PE,76.87,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
414,Franklin,US,75.81,broken clouds,39.9667,-83.0166,Courtyard by Marriott Columbus Downtown
415,Sembe,CG,80.67,overcast clouds,1.6481,14.5806,
425,Umm Lajj,SA,79.39,clear sky,25.0213,37.2685,Moon light Furnished Units
432,Panacan,PH,79.88,overcast clouds,9.2463,118.4082,Mom's Place Resort
436,Vila Do Maio,CV,83.19,clear sky,15.1333,-23.2167,Hotel Marilu
438,Banjar,ID,77.45,overcast clouds,-8.19,114.9675,The Hamsa Resort
443,Plainview,US,69.96,clear sky,40.7765,-73.4673,Four Points by Sheraton Melville Long Island
447,Domoni,KM,79.68,overcast clouds,-12.2569,44.5319,Al Djadid
448,Nassau,US,70.92,clear sky,40.7507,-73.5829,Hilton Garden Inn Westbury
449,Hambantota,LK,82.02,overcast clouds,6.1241,81.1185,Bungalow 63
458,Chicaman,GT,76.32,overcast clouds,15.4,-90.7667,"Las Pacayas, Uspantan El Quiché"
468,Vanimo,PG,78.08,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
469,Sakakah,SA,81.97,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
474,Alamogordo,US,80.56,clear sky,32.8995,-105.9603,Fairfield Inn & Suites by Marriott Alamogordo
476,Koraput,IN,79.88,broken clouds,18.8167,82.7167,Raj Residency
480,Arroyo,ES,73.15,few clouds,41.6096,-4.7969,Hotel El Jardín de la Abadía
482,Haapiti,PF,76.73,broken clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
485,Kasongo-Lunda,CD,73.63,overcast clouds,-6.4667,16.8167,
487,Isangel,VU,78.71,overcast clouds,-19.55,169.2667,Tanna Lodge
488,Paka,MY,76.93,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
494,Mwingi,KE,71.96,overcast clouds,-0.9344,38.0601,Thorn Tree by The Address
495,Tautira,PF,79.47,broken clouds,-17.7333,-149.15,Pension Oaoa
500,Pueblo Nuevo,MX,74.91,broken clouds,23.3833,-105.3833,
505,Touros,BR,85.01,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
506,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
508,Kailua,US,75.18,moderate rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
509,Kilindoni,TZ,82.06,overcast clouds,-7.9139,39.6668,Bustani B&B
513,Hurghada,EG,80.28,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
525,Luwuk,ID,77.34,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
532,Todos Santos,MX,69.84,broken clouds,23.45,-110.2167,Hotel California Todos Santos
535,Garden City,US,68.9,broken clouds,42.3256,-83.331,Big Trees Mobile Home Community
537,Bud,US,69.22,scattered clouds,39.447,-86.1758,Ted McQuinn Trust
538,Mawlaik,MM,76.08,broken clouds,23.6333,94.4167,AKZ Guest House
543,Morondava,MG,77.16,clear sky,-20.2833,44.2833,La Case Bambou
547,Betera,ES,68,clear sky,39.5833,-0.45,Aparthotel Wellness
548,Kupang,ID,78.33,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
550,Carlos Antonio Lopez,PY,78.87,overcast clouds,-26.4,-54.7667,Milenium
556,Dong Xoai,VN,75.54,overcast clouds,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
557,Piacabucu,BR,82.8,broken clouds,-10.4056,-36.4344,Piaçabuçu News
559,Sabang,ID,83.66,overcast clouds,5.8933,95.3214,Hotel Citra
564,Mount Pleasant,US,84.09,clear sky,32.7941,-79.8626,Best Western Patriots Point
569,Campina Grande Do Sul,BR,84.2,few clouds,-25.3056,-49.0553,Chácara Dorigon
570,Soyo,AO,78.55,overcast clouds,-6.1349,12.3689,Hotel Mpampa
571,Sampit,ID,76.19,moderate rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
573,Pathalgaon,IN,80.49,broken clouds,22.5667,83.4667,Queens Park Marriage Garden
576,Sao Gabriel Da Cachoeira,BR,84,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
577,Bandarbeyla,SO,84.47,broken clouds,9.4942,50.8122,JABIR HOTEL
578,Erdemli,TR,71.19,clear sky,36.605,34.3084,Sun Rice Otel
584,Palmeira Das Missoes,BR,68.36,overcast clouds,-27.8994,-53.3136,Hotel De Carli
587,Brenham,US,84.34,overcast clouds,30.1669,-96.3977,Hampton Inn & Suites Brenham
591,Luanda,AO,80.6,few clouds,-8.8368,13.2343,EPIC SANA Luanda
595,Parana,AR,72.55,clear sky,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
598,Forestville,US,68.9,overcast clouds,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
601,San Roque,ES,76.03,clear sky,36.2107,-5.3842,Hotel Guadacorte Park
606,Paulo Ramos,BR,81.18,broken clouds,-4.2167,-45.1833,Hotel milena
612,Bombay,IN,85.98,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
620,Salaga,GH,78.26,moderate rain,8.5508,-0.5188,Bore Nada Guest House
621,Kuching,MY,79.02,light rain,1.55,110.3333,Hilton Kuching
624,Carauari,BR,81,broken clouds,-4.8828,-66.8958,Hotel Fellip
631,Shu,KZ,70.38,overcast clouds,43.5983,73.7614,Shyngyzkhan
634,Carutapera,BR,83.8,scattered clouds,-1.195,-46.02,Lidera
635,Huarmey,PE,70.59,few clouds,-10.0681,-78.1522,Hotel Miramar
636,Mae Hong Son,TH,77,broken clouds,19.3003,97.9685,Baiyoke Chalet Hotel
637,Faya,SA,68.11,few clouds,18.3851,42.4509,املاك خالد الشعشوع
639,Porbandar,IN,84.16,clear sky,21.6422,69.6093,Lords Inn Porbandar
642,Tagusao,PH,79.72,broken clouds,9.1924,117.8141,Green Villa beach resort
647,Balaipungut,ID,76.42,moderate rain,1.05,101.2833,
648,Anloga,GH,83.93,broken clouds,5.7947,0.8973,Pin Drop Hotel
650,Quarai,BR,68.25,overcast clouds,-30.3875,-56.4514,Hotel Casino San Eugenio del Cuareim
654,Xuddur,SO,75.29,overcast clouds,4.1213,43.8894,Banjanay Hotel
655,Mayo,US,69.13,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
656,Mana,GF,83.19,broken clouds,5.6592,-53.7767,LE SAMANA
658,Ilebo,CD,71.74,broken clouds,-4.3167,20.5833,Hôtel BUMAK
661,Lenger,KZ,71.04,broken clouds,42.183,69.8839,Gostevoy Dom 1
664,Itarema,BR,84.76,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
674,Marawi,PH,69.55,overcast clouds,7.9986,124.2928,Derogongan Residence
676,Newberry,US,81.86,scattered clouds,34.2746,-81.6187,Hampton Inn Newberry-Opera House
677,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Lindsey Hôtel
